"customer_id","category_id","item_id","size_caption","width","left_facing","right_facing","thickness","printing_cylinder","cutting_length_cm","raw_material","master_batch_id","is_printed","cutting_unit","unit_weight_kg","notes","punching"
"CID575","CAT04","ITM29","19.5X25","19.5","0","0","15","10","25","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1498","CAT04","ITM30","36+9+9X45","36","9","9","17","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1359","CAT04","ITM29","30+8+8X40","30","8","8","19","16","41","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1359","CAT04","ITM31","34+8+8X50","34","8","8","25","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1500","CAT03","ITM21","21+7+7X40","21","7","7","14","16","41","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1500","CAT03","ITM22","26+9+9X45","26","9","9","14","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1500","CAT03","ITM23","32+10+10X50","32","10","10","14","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1500","CAT03","ITM24","43+13+13X60","43","13","13","20","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1499","CAT08","ITM55","30X45","30","0","0","14","18","46","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1499","CAT08","ITM56","23X40","23","0","0","8","16","41","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1499","CAT03","ITM21","28+10+10X45","28","10","10","22","18","46","LDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1499","CAT03","ITM23","30+10+10X60","30","10","10","27","24","61","LDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1020","CAT03","ITM23","36+11+11X45","36","11","11","12","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1034","CAT03","ITM23","40+10+10X55","40","10","10","20","22","56","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID1501","CAT08","ITM56","35X40","35","0","0","25","16","41","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID1501","CAT08","ITM55","17X27","17","0","0","25","بدون","27","LDPE","MAS01","No","Kg.","1","20K/Bag","بدون"
