id,customer_id,category_id,item_id,size_caption,width,left_facing,right_facing,thickness,printing_cylinder,cutting_length_cm,raw_material,master_batch_id,is_printed,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg,cliche_front_design,cliche_back_design,notes,status,created_at
1706,CID1055,CAT03,ITM22,26+7+7X45,26,7,7,15,18,46,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:26 GMT+0000 (Coordinated Universal Time)
1707,CID1055,CAT03,ITM23,30+10+10X60,30,10,10,15,24,61,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:26 GMT+0000 (Coordinated Universal Time)
1708,CID1056,CAT03,ITM22,30+10+10X50,30,10,10,20,20,50,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:27 GMT+0000 (Coordinated Universal Time)
1709,CID1056,CAT03,ITM24,40+10+10X71,40,10,10,20,28,71,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:27 GMT+0000 (Coordinated Universal Time)
1710,CID1057,CAT04,ITM30,36+7+7X50,36,7,7,25,20,51,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:27 GMT+0000 (Coordinated Universal Time)
1712,CID754,CAT01,ITM03,28+11+11X58,28,11,11,4,بدون طباعة,58,HDPE,PT-000000,FALSE,باكت,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:27 GMT+0000 (Coordinated Universal Time)
1713,CID1058,CAT08,ITM55,55X91,55,0,0,25,36,91,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:27 GMT+0000 (Coordinated Universal Time)
1714,CID723,CAT04,ITM32,41+15+15X55,41,15,15,28,22,56,HDPE,PT-160061,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:27 GMT+0000 (Coordinated Universal Time)
1715,CID1044,CAT08,ITM57,26X35,26,0,0,12,14,36,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:27 GMT+0000 (Coordinated Universal Time)
1716,CID038,CAT02,ITM13,0X0,0,0,0,0,بدون طباعة,0,HDPE,PT-130112,FALSE,رول,بدون,0.8,20,16,,,10R/Bag,active,Thu Aug 21 2025 16:50:27 GMT+0000 (Coordinated Universal Time)
1718,CID241,CAT02,ITM18,0X100,0,0,0,13,بدون طباعة,100,Regrind,PT-000000,FALSE,رول,بدون,0.9,20,18,,,20K/Bag,active,Thu Aug 21 2025 16:50:28 GMT+0000 (Coordinated Universal Time)
1719,CID1042,CAT03,ITM23,32+10+10X60,32,10,10,15,24,61,HDPE,PT-130232-A,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:28 GMT+0000 (Coordinated Universal Time)
1720,CID1042,CAT08,ITM55,19X30,19,0,0,10,12,30,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:28 GMT+0000 (Coordinated Universal Time)
1721,CID1042,CAT08,ITM56,20X35,20,0,0,10,14,36,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:28 GMT+0000 (Coordinated Universal Time)
1722,CID1042,CAT08,ITM57,26X40,26,0,0,10,16,41,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:28 GMT+0000 (Coordinated Universal Time)
1723,CID887,CAT03,ITM21,25+8+8X45,25,8,8,16,18,46,HDPE,PT-111111,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:28 GMT+0000 (Coordinated Universal Time)
1724,CID887,CAT03,ITM23,32+10+10X60,32,10,10,20,24,61,HDPE,PT-111111,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:29 GMT+0000 (Coordinated Universal Time)
1725,CID1005,CAT08,ITM55,16X30,16,0,0,20,12,30,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:29 GMT+0000 (Coordinated Universal Time)
1727,CID887,CAT03,ITM24,41+11+11X71,41,11,11,22,28,71,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:29 GMT+0000 (Coordinated Universal Time)
1728,CID896,CAT03,ITM21,21+7+7X40,21,7,7,14,16,41,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:29 GMT+0000 (Coordinated Universal Time)
1729,CID1059,CAT04,ITM28,18+6+6X30,18,6,6,20,12,30,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:29 GMT+0000 (Coordinated Universal Time)
1730,CID1059,CAT03,ITM21,26+8+8X40,26,8,8,14,16,41,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:29 GMT+0000 (Coordinated Universal Time)
1731,CID1059,CAT03,ITM22,30+10+10X50,30,10,10,14,20,51,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:29 GMT+0000 (Coordinated Universal Time)
4088,CID1880,CAT03,ITM22,30+10+10X50,30,10,10,15,20,51,HDPE,PT-CLEAR,TRUE,كيلو,علاقي,1,,,,,20K/Bag,active,Thu Aug 21 2025 16:58:33 GMT+0000 (Coordinated Universal Time)
1734,CID1060,CAT04,ITM32,45+8+8X71,45,8,8,25,28,71,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:30 GMT+0000 (Coordinated Universal Time)
