id,printing_cylinder,master_batch_id,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg
237,بدون طباعة,PT-180374,باكت,بدون,2,1,2
238,بدون طباعة,PT-180374,باكت,بدون,2,1,2
239,بدون طباعة,PT-111111,كرتون,بدون,6,20,120
240,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
241,16,PT-180361,كيلو,بنانة,1,20,20
242,20,PT-180361,كيلو,بنانة,1,20,20
243,بدون طباعة,PT-180361,كيلو,بدون,1,20,20
244,16,PT-180361,كيلو,بنانة,1,20,20
245,22,PT-111111,كيلو,بنانة,1,20,20
246,10,PT-180370,كيلو,بنانة,1,20,20
247,12,PT-180370,كيلو,بنانة,1,20,20
248,14,PT-180370,كيلو,بنانة,1,20,20
249,16,PT-180370,كيلو,بنانة,1,20,20
250,18,PT-180370,كيلو,بنانة,1,20,20
251,20,PT-180370,كيلو,بنانة,1,20,20
252,بدون طباعة,PT-180370,كيلو,بنانة,1,20,20
253,18,PT-CLEAR,كيلو,علاقي,1,20,20
254,24,PT-CLEAR,كيلو,علاقي,1,20,20
255,16,PT-111111,كيلو,علاقي,1,20,20
256,16,PT-140340,كيلو,علاقي هوك,1,20,20
257,20,PT-CLEAR,كرتون,علاقي هوك,5,1,5
258,24,PT-111111,كرتون,علاقي هوك,5,1,5
259,28,PT-120074,كيلو,علاقي هوك,1,20,20
260,32,PT-130231,كيلو,علاقي هوك,1,20,20
261,بدون طباعة,PT-111111,كرتون,بدون,4.5,1,4.5
262,بدون طباعة,PT-111111,كرتون,بدون,4.5,1,4.5
263,بدون طباعة,PT-111111,كرتون,بدون,4.5,1,4.5
264,بدون طباعة,PT-111111,كرتون,بدون,4.5,1,4.5
265,بدون طباعة,PT-111111,كرتون,بدون,4.5,1,4.5
266,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
267,بدون طباعة,PT-111111,كرتون,بدون,2.5,1,2.5
268,بدون طباعة,PT-111111,كرتون,بدون,2.5,1,2.5
269,بدون طباعة,PT-130231,كرتون,بدون,2.5,1,2.5
270,بدون طباعة,PT-140340,كرتون,بدون,2.5,1,2.5
271,بدون طباعة,PT-111111,كرتون,بدون,5,1,5
272,بدون طباعة,PT-000000,باكت,بدون,2,1,2
273,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
274,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
275,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
276,28,PT-111111,كيلو,بدون,1,20,20
277,32,PT-111111,كيلو,بدون,1,20,20
278,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
279,بدون طباعة,PT-111111,باكت,بدون,1,20,20
280,بدون طباعة,PT-111111,رول,بدون,0.9,20,18
281,بدون طباعة,PT-130231,رول,بدون,0.9,20,18
282,بدون طباعة,PT-140352,رول,بدون,0.9,20,18
283,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
284,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
285,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
286,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
287,16,PT-130231,كيلو,بنانة,1,20,20
288,20,PT-CLEAR,كيلو,بنانة,1,20,20
289,24,PT-CLEAR,كيلو,بنانة,1,20,20
290,26,PT-CLEAR,كيلو,بنانة,1,20,20
291,بدون طباعة,PT-111111,كيلو,بنانة,1,20,20
292,بدون طباعة,PT-111111,كيلو,بنانة,1,20,20
293,18,PT-111111,كيلو,بدون,1,20,20
294,22,PT-111111,كيلو,بدون,1,20,20
295,28,PT-111111,كيلو,بدون,1,20,20
296,20,PT-111111,كيلو,بدون,1,20,20
297,24,PT-111111,كيلو,بدون,1,20,20
298,بدون طباعة,PT-111111,باكت,بدون,1.1,20,22
299,24,PT-111111,كيلو,علاقي,1,20,20
300,26,PT-CLEAR,كيلو,بنانة,1,20,20
301,32,PT-111111,كيلو,بدون,1,20,20
302,39,PT-111111,كيلو,بدون,1,20,20
303,بدون طباعة,PT-111111,كرتون,بدون,2.5,1,2.5
304,بدون طباعة,PT-130231,كرتون,بدون,2.5,1,2.5
305,بدون طباعة,PT-140340,كرتون,بدون,2.5,1,2.5
306,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
307,20,PT-111111,كيلو,علاقي هوك,1,20,20
308,24,PT-111111,كيلو,علاقي هوك,1,20,20
309,12,PT-CLEAR,كيلو,بدون,1,20,20
310,16,PT-CLEAR,كيلو,بدون,1,20,20
311,20,PT-CLEAR,كيلو,بدون,1,20,20
312,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
313,18,PT-111111,كيلو,بنانة,1,20,20
314,20,PT-111111,كيلو,بنانة,1,20,20
315,28,PT-130231,كيلو,بنانة,1,20,20
316,28,PT-111111,كيلو,بنانة,1,20,20
317,بدون طباعة,PT-CLEAR,باكت,بدون,1,20,20
318,بدون طباعة,PT-CLEAR,باكت,بدون,1,20,20
319,بدون طباعة,PT-CLEAR,رول,بدون,0.9,20,18
320,بدون طباعة,PT-CLEAR,رول,بدون,0.9,20,18
321,بدون طباعة,PT-CLEAR,رول,بدون,0.9,20,18
322,بدون طباعة,PT-CLEAR,رول,بدون,0.9,20,18
323,بدون طباعة,PT-111111,باكت,بدون,0.8,20,16
324,بدون طباعة,PT-CLEAR,كرتون,بدون,10,1,10
325,بدون طباعة,PT-CLEAR,كرتون,بدون,10,1,10
326,بدون طباعة,PT-CLEAR,رول,بدون,1.3,10,13
327,16,PT-CLEAR,كرتون,بدون,10,1,10
328,22,PT-CLEAR,كرتون,بدون,15,1,15
329,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
330,24,PT-120074,كيلو,بدون,1,20,20
331,16,PT-000000,كيلو,بنانة,1,20,20
332,24,PT-130231,كيلو,بدون,1,20,20
333,30,PT-180370,كيلو,بدون,1,20,20
334,18,PT-130231,كيلو,بدون,1,20,20
335,20,PT-130231,كيلو,بدون,1,20,20
336,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
337,بدون طباعة,PT-170028,كيلو,بدون,1,20,20
338,18,PT-130232-B,كيلو,بدون,1,20,20
339,22,PT-130232-B,كيلو,بدون,1,20,20
340,20,PT-CLEAR,كيلو,علاقي,1,20,20
341,22,PT-CLEAR,كيلو,علاقي,1,20,20
342,28,PT-CLEAR,كيلو,علاقي,1,20,20
343,20,PT-120074,كيلو,بنانة,1,20,20
344,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
345,22,PT-120074,كيلو,بدون,1,20,20
346,بدون طباعة,PT-130231,كيلو,بدون,1,20,20
347,بدون طباعة,PT-140352,كيلو,بدون,1,20,20
348,بدون طباعة,PT-000000,كيلو,بدون,1,20,20
349,بدون طباعة,PT-000000,كيلو,بدون,1,20,20
350,بدون طباعة,PT-000000,كيلو,بدون,1,20,20
351,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
352,بدون طباعة,PT-111111,كيلو,بدون,0.9,20,18
353,بدون طباعة,PT-130231,رول,بدون,0.9,20,18
354,بدون طباعة,PT-140352,رول,بدون,0.9,20,18
355,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
356,بدون طباعة,PT-CLEAR,كيلو,بدون,0.9,20,18
357,بدون طباعة,PT-CLEAR,كيلو,بدون,0.9,20,18
358,بدون طباعة,PT-CLEAR,كيلو,بدون,0.9,20,18
359,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
360,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
361,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
362,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
363,18,PT-120074,كيلو,بنانة,1,20,20
364,20,PT-111111,كيلو,بنانة,1,20,20
365,24,PT-111111,كيلو,بنانة,1,20,20
366,18,PT-111111,كيلو,بدون,1,20,20
367,24,PT-111111,كيلو,بدون,1,20,20
368,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
369,18,PT-120074,كيلو,علاقي,1,20,20
370,28,PT-120074,كيلو,بدون,1,20,20
371,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
